Data,Tmax (°C),Tmin (°C),Tmed (°C),UR (%),Vel. Vento (m/s),Radiação solar (MJ/m²d),Chuva (mm),Ano,Radiação solar (KJ/m²d)
01/01/2020,"32,2","21,8",27,"77,25","1,333333333","20,8976",0,2020,"20897,6"
02/01/2020,"30,8","22,1","26,45","81,75","1,416666667","18,5559",0,2020,"18555,9"
03/01/2020,"29,6","20,2","24,9","78,16666667","1,708333333","17,6712",0,2020,"17671,2"
04/01/2020,"31,6","19,1","25,35","73,79166667","1,333333333","23,8533",0,2020,"23853,3"
05/01/2020,"32,9","19,5","26,2","72,08333333","1,416666667","27,3802",0,2020,"27380,2"
06/01/2020,"33,8","21,3","27,55","73,29166667","1,75","24,0415",0,2020,"24041,5"
07/01/2020,"29,6","20,2","24,9","80,04166667","1,125","17,3063","17,4",2020,"17306,3"
08/01/2020,"32,3","20,3","26,3","77,375","1,083333333","25,3601",0,2020,"25360,1"
09/01/2020,"33,2","23,5","28,35","76,70833333","1,333333333","22,0486",0,2020,"22048,6"
10/01/2020,"33,7","23,2","28,45","77,75","1,625","21,8086",0,2020,"21808,6"
11/01/2020,"31,7","22,1","26,9","85,66666667","1,958333333","14,9811",25,2020,"14981,1"
12/01/2020,"32,8",22,"27,4","84,39130435","0,8695652174","20,1839","0,2",2020,"20183,9"
13/01/2020,"31,5","23,3","27,4","85,125","1,041666667","13,949","2,8",2020,13949
14/01/2020,"31,6","20,9","26,25","85,25","1,708333333","19,3062","87,6",2020,"19306,2"
15/01/2020,34,"22,7","28,35","80,25","1,541666667","22,7372",0,2020,"22737,2"
16/01/2020,33,"21,1","27,05","85,33333333","2,041666667","10,4834","32,8",2020,"10483,4"
17/01/2020,"31,3","20,1","25,7",82,"1,25","23,8092",0,2020,"23809,2"
18/01/2020,"31,7","20,5","26,1","73,95833333","1,291666667","26,3247",0,2020,"26324,7"
19/01/2020,"32,2",21,"26,6","75,16666667","1,458333333","25,8506",0,2020,"25850,6"
20/01/2020,"32,9","20,9","26,9","75,20833333","1,708333333","25,4572",0,2020,"25457,2"
21/01/2020,"31,5","21,3","26,4","75,16666667","1,708333333","20,6906",0,2020,"20690,6"
22/01/2020,"26,6","19,8","23,2","83,91666667","2,208333333","9,8655","81,8",2020,"9865,5"
23/01/2020,"23,9","19,7","21,8","80,54166667","2,375","7,2816","0,2",2020,"7281,6"
24/01/2020,"28,9","17,5","23,2","77,91666667","1,375","27,3293",0,2020,"27329,3"
25/01/2020,"32,5","17,2","24,85","73,04166667","1,208333333","26,2415",0,2020,"26241,5"
26/01/2020,"33,5","18,1","25,8","71,83333333",1,"27,1815",0,2020,"27181,5"
27/01/2020,"33,9","17,5","25,7","68,66666667","1,291666667","25,9494",0,2020,"25949,4"
28/01/2020,"34,9","19,1",27,"68,08333333","1,208333333","22,2639",0,2020,"22263,9"
29/01/2020,"32,6","20,8","26,7","77,04166667","1,625","15,4538","26,2",2020,"15453,8"
30/01/2020,"27,4","19,1","23,25",86,"1,75","11,143","35,4",2020,11143
31/01/2020,"30,5","19,9","25,2","79,79166667","0,8333333333","19,4224",0,2020,"19422,4"
01/02/2020,"31,7","20,1","25,9","78,16666667","1,125","21,4893",0,2020,"21489,3"
02/02/2020,"29,4","20,8","25,1","86,20833333","0,75","11,1859","46,8",2020,"11185,9"
03/02/2020,"31,1","16,3","23,7","77,875","0,8333333333","24,928",0,2020,24928
04/02/2020,"31,2","20,3","25,75","71,25","1,708333333","23,9687",0,2020,"23968,7"
05/02/2020,33,"20,4","26,7","74,125","1,666666667","22,4341",0,2020,"22434,1"
06/02/2020,34,"20,5","27,25","73,66666667","1,166666667","25,9037",0,2020,"25903,7"
07/02/2020,"33,1","20,4","26,75","74,125","1,625","21,3988",0,2020,"21398,8"
08/02/2020,"33,1","20,9",27,"73,04166667",1,"21,16",0,2020,21160
09/02/2020,"34,4","21,7","28,05","72,20833333","2,041666667","23,2846",0,2020,"23284,6"
10/02/2020,"33,9","20,4","27,15","76,25","1,458333333","22,4031",22,2020,"22403,1"
11/02/2020,"31,4","20,8","26,1","78,58333333","1,083333333","19,2724","0,6",2020,"19272,4"
12/02/2020,"31,7","20,9","26,3","68,3","1,4","14,9943",0,2020,"14994,3"
13/02/2020,"33,8","20,5","27,15","62,20833333","1,75","25,9684",0,2020,"25968,4"
14/02/2020,31,"19,6","25,3","63,08333333","1,291666667","17,0579",0,2020,"17057,9"
15/02/2020,"32,3","21,1","26,7",64,"1,666666667","15,0942",0,2020,"15094,2"
16/02/2020,35,"21,4","28,2","69,08333333","2,208333333","14,0491","5,6",2020,"14049,1"
17/02/2020,"36,1","21,7","28,9","71,91666667",2,"19,6878","0,2",2020,"19687,8"
18/02/2020,"35,2","24,1","29,65","71,41666667","2,416666667","20,3461","0,8",2020,"20346,1"
19/02/2020,"34,6","21,9","28,25","73,95833333","1,375","21,8082",0,2020,"21808,2"
20/02/2020,"34,9","23,1",29,"69,33333333","0,375","22,088",0,2020,22088
21/02/2020,"31,5","19,6","25,55","61,5","1,416666667","24,6124",0,2020,"24612,4"
22/02/2020,"29,8","13,4","21,6","50,75","5,25","26,8392",0,2020,"26839,2"
23/02/2020,"31,1","12,9",22,"62,75","1,666666667","22,3789",0,2020,"22378,9"
24/02/2020,"33,9","20,4","27,15","65,25","1,666666667","21,4852",0,2020,"21485,2"
25/02/2020,"34,5",24,"29,25","71,41666667","1,166666667","15,1598","0,2",2020,"15159,8"
26/02/2020,"29,5","21,2","25,35","76,33333333","2,958333333","16,5161","6,2",2020,"16516,1"
27/02/2020,"30,1","14,7","22,4","63,25","1,333333333","25,379",0,2020,25379
28/02/2020,33,"13,9","23,45","58,86956522",0,"22,232",0,2020,22232
29/02/2020,"32,8","18,5","25,65","58,16666667",0,"22,462",0,2020,22462
01/03/2020,34,"19,6","26,8","50,58333333",0,"23,6326",0,2020,"23632,6"
02/03/2020,"31,2","16,5","23,85","58,95833333",0,"20,9346","0,4",2020,"20934,6"
03/03/2020,"31,9","15,6","23,75","62,33333333",0,"25,0199",0,2020,"25019,9"
04/03/2020,"33,2","17,7","25,45","59,125",0,"24,5163",0,2020,"24516,3"
05/03/2020,"34,2","16,1","25,15","55,91666667","0,8333333333","24,5245","0,4",2020,"24524,5"
06/03/2020,"34,5","16,6","25,55","52,54166667","1,75","24,0502",0,2020,"24050,2"
07/03/2020,"33,6","18,9","26,25","57,95833333","2,208333333","17,6197","0,4",2020,"17619,7"
08/03/2020,"33,1","17,6","25,35","63,41666667","2,333333333","22,0018","2,8",2020,"22001,8"
09/03/2020,"34,7","18,9","26,8","56,81818182","1,954545455","20,4396",0,2020,"20439,6"
10/03/2020,"35,7","18,9","27,3","50,41666667","2,083333333","22,7077",0,2020,"22707,7"
11/03/2020,"36,4","16,9","26,65",49,"1,666666667","23,6705",0,2020,"23670,5"
12/03/2020,"37,2","21,9","29,55","52,375","2,208333333","22,7181",0,2020,"22718,1"
13/03/2020,"38,4","21,8","30,1","59,41666667","2,666666667","21,142","3,6",2020,21142
14/03/2020,"37,3","20,6","28,95","54,91666667","1,833333333","22,8935",0,2020,"22893,5"
15/03/2020,"37,3","19,9","28,6","44,58333333","2,125","21,1609",0,2020,"21160,9"
16/03/2020,"37,5",20,"28,75","54,79166667","1,125","18,6022",0,2020,"18602,2"
17/03/2020,"36,4","20,8","28,6","60,79166667","2,041666667","22,2225",0,2020,"22222,5"
18/03/2020,"31,3","21,8","26,55","79,04166667",2,"7,469","9,2",2020,7469
19/03/2020,"29,9",20,"24,95","84,91666667","1,25","11,3165","2,2",2020,"11316,5"
20/03/2020,"28,7","18,6","23,65","72,16666667","2,5","23,2465","0,4",2020,"23246,5"
21/03/2020,"30,4","12,9","21,65","61,58333333","1,791666667","23,4196",0,2020,"23419,6"
22/03/2020,33,"15,4","24,2","59,5","1,75","22,2374",0,2020,"22237,4"
23/03/2020,"32,8","20,1","26,45",56,"1,708333333","22,2323",0,2020,"22232,3"
24/03/2020,"31,3","19,2","25,25","48,75","2,5","22,0555",0,2020,"22055,5"
25/03/2020,"32,9","17,8","25,35","52,76190476","2,333333333","15,6046",0,2020,"15604,6"
26/03/2020,"32,8","15,5","24,15","52,45833333",2,"20,9235",0,2020,"20923,5"
27/03/2020,"33,2","16,6","24,9","53,29166667","1,916666667","18,9589",0,2020,"18958,9"
28/03/2020,"32,4","21,9","27,15","54,875","2,416666667","14,4931",0,2020,"14493,1"
29/03/2020,"32,9","21,1",27,"69,33333333","1,458333333","20,5911",0,2020,"20591,1"
30/03/2020,"32,9","20,8","26,85","67,58333333","1,25","17,4973",0,2020,"17497,3"
31/03/2020,35,"20,9","27,95","67,04166667","1,666666667","15,963",0,2020,15963
01/04/2020,"35,1","19,7","27,4","65,79166667","1,333333333","16,9363",0,2020,"16936,3"
02/04/2020,"34,9","21,7","28,3","70,04166667","1,916666667","9,6767","12,4",2020,"9676,7"
03/04/2020,"23,9","14,3","19,1","66,75","4,083333333","21,9875",0,2020,"21987,5"
04/04/2020,"28,1","9,7","18,9","63,66666667","1,208333333","21,397",0,2020,21397
05/04/2020,"33,1","12,8","22,95","57,58333333",2,"19,9887",0,2020,"19988,7"
06/04/2020,"26,8","19,4","23,1","73,43478261","2,043478261","1,9684","39,8",2020,"1968,4"
07/04/2020,"26,5","16,7","21,6","78,5","2,75","19,4051",0,2020,"19405,1"
08/04/2020,"25,1","12,2","18,65","66,75","2,791666667","20,2384",0,2020,"20238,4"
09/04/2020,"25,7","10,8","18,25","62,41666667","2,416666667","20,6221",0,2020,"20622,1"
10/04/2020,"24,9","9,3","17,1","64,79166667","2,583333333","20,2973",0,2020,"20297,3"
11/04/2020,"26,1","8,9","17,5","64,08333333","1,666666667","20,702",0,2020,20702
12/04/2020,"29,8","10,3","20,05","60,45833333","1,5","20,0864",0,2020,"20086,4"
13/04/2020,"30,4","15,3","22,85","62,91666667","1,833333333","15,2298","0,6",2020,"15229,8"
14/04/2020,"22,4","16,1","19,25","77,45833333","2,791666667","16,3863","5,2",2020,"16386,3"
15/04/2020,"21,2","6,4","13,8","64,5","2,25","20,0252",0,2020,"20025,2"
16/04/2020,"22,9","6,1","14,5","62,25","1,958333333","19,7161",0,2020,"19716,1"
17/04/2020,"24,3","7,2","15,75","64,17391304","1,52173913","14,462",0,2020,14462
18/04/2020,"28,8","10,8","19,8","66,91666667",1,"17,3219",0,2020,"17321,9"
19/04/2020,29,"14,1","21,55","64,79166667","2,083333333","18,691",0,2020,18691
20/04/2020,"29,2","12,8",21,"66,45833333","1,541666667","18,6277",0,2020,"18627,7"
21/04/2020,"29,9","13,8","21,85","64,20833333","1,875","18,6286",0,2020,"18628,6"
22/04/2020,"30,3","12,9","21,6","63,54166667","1,791666667","18,3527",0,2020,"18352,7"
23/04/2020,"30,1","13,4","21,75","61,91666667","1,833333333","18,0415",0,2020,"18041,5"
24/04/2020,"29,9","14,7","22,3","55,20833333","2,166666667","18,4648",0,2020,"18464,8"
25/04/2020,"32,8","16,1","24,45","57,91666667","1,666666667","16,9384",0,2020,"16938,4"
26/04/2020,"33,1","22,1","27,6","63,25","1,458333333","14,8065","0,2",2020,"14806,5"
27/04/2020,"24,9","18,4","21,65","68,46153846","1,230769231","1,0316",0,2020,"1031,6"
28/04/2020,"31,1","20,1","25,6","50,35714286","2,214285714","16,8288",0,2020,"16828,8"
