IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
1100015,Alta Floresta D'Oeste,RO,"0,110","110,3"
1100023,Ariquemes,RO,"0,109","109,1"
1100031,Cabixi,RO,"0,118","118,4"
1100049,Cacoal,RO,"0,116","116,5"
1100056,Cerejeiras,RO,"0,118","118,3"
1100064,Colorado do Oeste,RO,"0,105","105,2"
1100072,Corumbiara,RO,"0,101","101,4"
1100080,Costa Marques,RO,"0,089","88,7"
1100098,Espigão D'Oeste,RO,"0,104","104,3"
1100106,Guajará-Mirim,RO,"0,091","91,2"
1100114,Jaru,RO,"0,105","105,4"
1100122,Ji-Paraná,RO,"0,108","107,9"
1100130,Machadinho D'Oeste,RO,"0,113","113,4"
1100148,Nova Brasilândia D'Oeste,RO,"0,113","113,1"
1100155,Ouro Preto do Oeste,RO,"0,108","108,5"
1100189,Pimenta Bueno,RO,"0,097","96,7"
1100205,Porto Velho,RO,"0,120","120,0"
1100254,Presidente Médici,RO,"0,115","114,6"
1100262,Rio Crespo,RO,"0,114","114,0"
1100288,Rolim de Moura,RO,"0,127","126,6"
1100296,Santa Luzia D'Oeste,RO,"0,110","109,7"
1100304,Vilhena,RO,"0,084","83,9"
1100320,São Miguel do Guaporé,RO,"0,098","98,0"
1100338,Nova Mamoré,RO,"0,096","95,6"
1100346,Alvorada D'Oeste,RO,"0,107","107,2"
1100379,Alto Alegre dos Parecis,RO,"0,097","96,5"
1100403,Alto Paraíso,RO,"0,114","114,2"
1100452,Buritis,RO,"0,110","109,5"
1100502,Novo Horizonte do Oeste,RO,"0,115","115,0"
1100601,Cacaulândia,RO,"0,107","107,0"
1100700,Campo Novo de Rondônia,RO,"0,102","102,0"
1100809,Candeias do Jamari,RO,"0,111","111,0"
1100908,Castanheiras,RO,"0,128","128,3"
1100924,Chupinguaia,RO,"0,081","81,5"
1100940,Cujubim,RO,"0,115","115,4"
1101005,Governador Jorge Teixeira,RO,"0,106","106,4"
1101104,Itapuã do Oeste,RO,"0,112","111,8"
1101203,Ministro Andreazza,RO,"0,110","109,9"
1101302,Mirante da Serra,RO,"0,111","111,2"
1101401,Monte Negro,RO,"0,107","107,1"
1101435,Nova União,RO,"0,107","106,7"
1101450,Parecis,RO,"0,098","98,0"
1101468,Pimenteiras do Oeste,RO,"0,113","112,9"
1101476,Primavera de Rondônia,RO,"0,125","125,2"
1101484,São Felipe D'Oeste,RO,"0,118","117,7"
1101492,São Francisco do Guaporé,RO,"0,106","106,5"
1101500,Seringueiras,RO,"0,105","104,6"
1101559,Teixeirópolis,RO,"0,107","106,7"
1101609,Theobroma,RO,"0,104","103,8"
1101708,Urupá,RO,"0,098","98,1"
1101757,Vale do Anari,RO,"0,112","111,9"
1101807,Vale do Paraíso,RO,"0,108","108,5"
1200013,Acrelândia,AC,"0,141","141,3"
1200054,Assis Brasil,AC,"0,151","150,8"
1200104,Brasiléia,AC,"0,130","129,9"
1200138,Bujari,AC,"0,145","145,3"
1200179,Capixaba,AC,"0,120","120,5"
1200203,Cruzeiro do Sul,AC,"0,131","131,5"
1200252,Epitaciolândia,AC,"0,118","118,0"
1200302,Feijó,AC,"0,142","141,6"
1200328,Jordão,AC,"0,134","134,0"
1200336,Mâncio Lima,AC,"0,141","140,6"
1200344,Manoel Urbano,AC,"0,154","153,6"
1200351,Marechal Thaumaturgo,AC,"0,137","137,2"
1200385,Plácido de Castro,AC,"0,146","145,5"
1200393,Porto Walter,AC,"0,134","134,0"
1200401,Rio Branco,AC,"0,134","134,1"
1200427,Rodrigues Alves,AC,"0,133","132,8"
1200435,Santa Rosa do Purus,AC,"0,152","151,9"
1200450,Senador Guiomard,AC,"0,133","132,8"
1200500,Sena Madureira,AC,"0,151","151,5"
1200609,Tarauacá,AC,"0,140","139,9"
1200708,Xapuri,AC,"0,127","126,6"
1200807,Porto Acre,AC,"0,147","147,3"
1300029,Alvarães,AM,"0,143","143,0"
1300060,Amaturá,AM,"0,154","153,7"
1300086,Anamã,AM,"0,132","132,1"
1300102,Anori,AM,"0,136","136,0"
1300144,Apuí,AM,"0,120","119,8"
1300201,Atalaia do Norte,AM,"0,132","132,3"
1300300,Autazes,AM,"0,134","134,3"
1300409,Barcelos,AM,"0,111","111,0"
1300508,Barreirinha,AM,"0,099","99,3"
1300607,Benjamin Constant,AM,"0,137","137,4"
1300631,Beruri,AM,"0,152","151,7"
1300680,Boa Vista do Ramos,AM,"0,105","105,0"
1300706,Boca do Acre,AM,"0,133","132,9"
1300805,Borba,AM,"0,126","126,5"
1300839,Caapiranga,AM,"0,144","144,2"
1300904,Canutama,AM,"0,140","140,5"
1301001,Carauari,AM,"0,132","132,4"
1301100,Careiro,AM,"0,148","147,9"
1301159,Careiro da Várzea,AM,"0,131","130,8"
1301209,Coari,AM,"0,146","145,8"
1301308,Codajás,AM,"0,150","149,8"
1301407,Eirunepé,AM,"0,142","142,0"
1301506,Envira,AM,"0,142","142,4"
1301605,Fonte Boa,AM,"0,161","160,6"
1301654,Guajará,AM,"0,118","118,4"
1301704,Humaitá,AM,"0,123","122,7"
1301803,Ipixuna,AM,"0,142","142,1"
1301852,Iranduba,AM,"0,083","82,5"
1301902,Itacoatiara,AM,"0,091","90,6"
1301951,Itamarati,AM,"0,124","123,9"
1302009,Itapiranga,AM,"0,106","106,0"
1302108,Japurá,AM,"0,119","118,9"
1302207,Juruá,AM,"0,145","145,3"
1302306,Jutaí,AM,"0,134","133,7"
1302405,Lábrea,AM,"0,123","122,8"
1302504,Manacapuru,AM,"0,100","100,2"
1302553,Manaquiri,AM,"0,148","148,1"
1302603,Manaus,AM,"0,098","98,1"
1302702,Manicoré,AM,"0,126","126,1"
1302801,Maraã,AM,"0,138","138,3"
1302900,Maués,AM,"0,116","116,1"
1303007,Nhamundá,AM,"0,103","103,1"
1303106,Nova Olinda do Norte,AM,"0,096","96,2"
1303205,Novo Airão,AM,"0,118","118,5"
1303304,Novo Aripuanã,AM,"0,116","115,6"
1303403,Parintins,AM,"0,086","85,9"
1303502,Pauini,AM,"0,134","134,2"
1303536,Presidente Figueiredo,AM,"0,104","103,5"
1303569,Rio Preto da Eva,AM,"0,107","107,3"
1303601,Santa Isabel do Rio Negro,AM,"0,102","102,3"
1303700,Santo Antônio do Içá,AM,"0,142","142,3"
1303809,São Gabriel da Cachoeira,AM,"0,100","99,8"
1303908,São Paulo de Olivença,AM,"0,141","140,7"
1303957,São Sebastião do Uatumã,AM,"0,117","116,9"
1304005,Silves,AM,"0,100","100,3"
1304062,Tabatinga,AM,"0,156","155,8"
