Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
RO,1100015,Alta Floresta D'Oeste,"83,91","79,57","86,81","90,46","88,58","91,96","113,71","132,89","123,05","119,88","98,52","91,57","258,57","247,73","241,90","109,73","58,43","19,60","6,07","18,60","62,97","140,10","169,87","210,13",-12.470087453992608,-62.27465050164509
RO,1100023,Ariquemes,"80,87","72,48","81,43","77,46","87,73","91,45","110,48","121,79","110,49","108,06","97,41","83,46","318,50","350,23","317,83","186,80","111,93","17,30","6,53","20,67","95,23","174,27","261,97","292,40",-9.95189780338364,-62.95718243164299
RO,1100031,Cabixi,"96,20","85,42","92,01","96,24","92,83","93,61","117,30","136,95","128,96","130,08","115,48","103,33","290,13","253,30","232,17","138,13","55,97","20,63","10,60","15,57","54,53","142,43","172,53","233,97",-13.474891583199472,-60.63984708514055
RO,1100049,Cacoal,"83,57","74,90","84,66","82,02","89,56","91,55","112,54","130,35","113,60","114,89","102,12","86,23","387,73","333,20","278,63","154,53","59,77","17,23","8,10","19,17","78,90","138,97","226,47","262,30",-11.301229896064315,-61.3247133037258
RO,1100056,Cerejeiras,"93,05","84,71","90,38","94,51","90,85","93,84","116,55","136,54","127,04","127,51","113,24","100,16","282,27","247,33","230,17","117,23","54,20","19,17","8,77","16,03","52,07","146,90","162,03","192,23",-13.203512317516193,-61.26093251203459
RO,1100064,Colorado do Oeste,"92,28","82,88","89,12","92,58","90,76","92,71","115,46","133,49","125,18","124,69","108,90","98,46","293,93","269,63","248,47","146,93","58,20","18,17","10,23","19,30","60,37","154,70","176,57","228,57",-13.159069536096023,-60.550227264040224
RO,1100072,Corumbiara,"90,74","82,27","88,76","92,27","91,97","92,67","116,30","135,15","124,56","123,57","105,16","96,86","279,07","256,90","240,37","120,67","51,67","16,33","7,60","18,33","51,57","157,90","156,37","164,80",-12.926626475223363,-61.09166058240638
RO,1100080,Costa Marques,"85,63","79,66","87,05","87,02","90,15","93,03","110,93","130,88","127,55","120,42","107,51","92,47","258,47","266,03","237,77","134,47","82,43","18,13","10,43","26,60","79,50","139,83","161,97","216,33",-12.147210004677785,-64.0587717345586
RO,1100098,Espigão D'Oeste,"84,25","74,66","83,27","82,46","89,31","93,26","115,38","130,38","113,71","113,59","101,41","86,47","339,47","326,07","264,00","163,57","60,30","15,90","6,20","20,93","67,43","148,83","210,13","245,63",-11.351204336357172,-60.7847931875533
RO,1100106,Guajará-Mirim,"81,23","78,19","85,01","83,52","89,40","92,69","109,77","129,13","124,35","121,35","96,09","87,95","264,13","283,93","249,87","154,67","118,97","19,87","9,57","26,07","83,10","152,07","160,87","226,03",-11.30564675121219,-64.53757069574483
RO,1100114,Jaru,"81,16","72,11","81,79","77,85","86,77","90,07","111,03","124,26","109,79","107,98","95,95","83,27","311,80","324,00","297,70","170,40","95,37","17,83","7,37","25,43","86,83","151,73","224,47","257,50",-10.59220504302489,-62.58501293811602
RO,1100122,Ji-Paraná,"79,65","73,01","80,85","79,66","87,92","91,29","113,01","128,51","109,74","108,17","91,39","81,65","352,37","330,80","303,87","184,23","71,47","25,13","11,10","12,37","70,10","150,53","255,37","252,20",-10.462272923617386,-61.757324934030095
RO,1100130,Machadinho D'Oeste,"79,41","71,22","79,21","75,92","88,43","92,88","113,01","124,84","109,83","107,11","96,45","80,38","339,00","336,73","321,20","211,73","110,40","30,87","17,07","31,03","98,77","190,03","257,17","320,13",-9.204076200576326,-62.01038901584335
RO,1100148,Nova Brasilândia D'Oeste,"82,84","74,19","84,89","80,71","87,73","90,55","113,93","130,36","114,39","114,95","102,10","87,09","295,43","274,17","274,70","132,43","65,67","19,97","6,23","24,53","83,37","149,30","199,47","224,37",-11.643227628406796,-62.28029315480634
RO,1100155,Ouro Preto do Oeste,"80,47","71,28","81,28","77,39","86,27","90,15","111,06","126,00","108,40","108,08","97,75","83,03","340,40","333,20","313,03","166,90","88,70","22,17","10,83","18,17","85,73","160,77","252,53","252,10",-10.610454082083397,-62.172678732159696
RO,1100189,Pimenta Bueno,"87,54","77,38","86,88","88,31","91,36","94,74","116,66","132,45","117,73","118,72","105,25","90,57","305,37","315,00","258,13","135,50","58,93","13,80","5,10","24,10","66,67","164,40","189,50","206,23",-11.89448386493754,-60.8303733239942
RO,1100205,Porto Velho,"80,53","73,34","82,39","78,64","89,32","93,00","108,11","118,71","112,72","106,74","91,87","80,46","304,77","319,17","281,77","201,47","128,23","34,40","19,57","31,27","88,83","171,27","218,70","299,17",-9.153587992320098,-64.3068028068779
RO,1100254,Presidente Médici,"82,54","73,82","84,06","80,31","88,42","91,96","112,85","128,63","111,60","111,90","98,72","85,32","388,60","311,07","312,20","156,00","65,77","24,20","9,57","20,40","98,47","165,33","240,87","242,70",-11.166228387305283,-61.87797453512822
RO,1100262,Rio Crespo,"79,88","71,77","80,74","77,05","87,57","91,46","111,10","122,29","110,23","105,76","95,02","81,51","346,63","358,17","351,87","194,90","120,77","22,10","8,87","20,93","94,73","184,20","268,63","326,43",-9.64512241353648,-62.79006591654243
RO,1100288,Rolim de Moura,"87,47","75,41","84,16","78,76","87,60","91,95","110,86","126,85","114,83","110,50","101,20","92,52","303,57","274,87","280,60","131,63","61,73","17,77","7,53","27,23","85,50","149,90","212,30","250,50",-11.732542682157868,-61.77154456889721
RO,1100296,Santa Luzia D'Oeste,"84,58","75,51","85,12","83,36","88,20","91,41","113,38","131,34","116,25","115,08","101,54","88,35","281,87","272,13","265,90","119,00","54,53","14,30","5,77","22,30","69,67","151,73","187,97","212,17",-12.027173393807338,-61.70096946780278
RO,1100304,Vilhena,"87,66","77,33","85,49","87,12","92,27","94,65","116,91","132,94","118,49","118,46","102,62","91,26","320,07","327,40","260,37","155,37","58,13","15,63","4,40","16,10","60,87","154,63","202,80","216,23",-12.09562840961503,-60.24842789538923
RO,1100320,São Miguel do Guaporé,"79,85","75,44","82,29","86,96","86,20","90,36","107,32","128,14","118,07","115,02","93,07","86,40","275,23","277,83","258,97","134,83","83,10","19,20","9,43","28,47","76,27","138,90","176,23","206,63",-11.614867947203969,-62.98332736856187
RO,1100338,Nova Mamoré,"82,75","75,75","83,56","78,51","89,03","91,62","109,24","124,04","118,02","114,09","95,64","83,56","287,10","290,97","264,73","175,13","122,47","25,73","14,47","29,10","82,37","155,43","185,83","252,70",-10.382126592392796,-64.62914347031831
RO,1100346,Alvorada D'Oeste,"81,85","73,19","83,80","79,70","86,50","89,62","108,54","126,43","112,32","112,29","99,57","85,46","296,77","292,80","274,07","146,00","84,50","19,43","9,33","28,97","83,67","145,43","194,00","205,60",-11.311433438560217,-62.54497880355823
RO,1100379,Alto Alegre dos Parecis,"86,39","80,53","88,73","91,11","90,59","91,94","115,03","133,62","127,35","120,85","99,53","93,58","260,77","244,17","240,23","107,90","51,03","18,37","5,63","18,30","55,83","145,47","160,73","185,47",-12.593643506907988,-61.88080031614874
RO,1100403,Alto Paraíso,"80,34","72,59","81,84","77,87","88,05","91,64","111,58","121,73","110,72","107,91","98,28","82,58","343,23","351,77","328,50","200,67","130,47","25,17","8,77","21,17","98,70","172,43","238,37","309,87",-9.649453737353436,-63.39424432364167
RO,1100452,Buritis,"81,97","73,82","82,93","78,64","88,41","91,82","107,91","117,99","112,93","112,06","99,51","82,91","325,90","328,77","294,73","193,30","124,70","25,13","15,87","30,53","97,80","168,40","220,47","291,77",-10.052071909776409,-63.941173990099934
RO,1100502,Novo Horizonte do Oeste,"83,32","75,31","84,78","82,43","88,02","91,45","113,60","131,10","114,31","112,19","100,92","87,19","299,83","272,37","275,17","126,70","61,73","18,63","7,03","23,60","81,60","148,53","201,90","231,00",-11.681016313609282,-62.08319702781896
RO,1100601,Cacaulândia,"81,27","72,15","81,49","76,91","87,24","90,62","109,59","124,20","110,89","107,19","97,73","82,56","314,80","321,03","289,70","181,67","104,70","15,60","7,40","26,57","94,87","161,07","233,03","271,23",-10.331598004280574,-62.98723572242285
RO,1100700,Campo Novo de Rondônia,"81,86","73,74","82,73","78,14","88,10","91,18","109,45","122,53","113,47","110,53","99,54","84,75","328,53","343,37","298,60","193,80","112,70","24,73","17,17","35,07","93,60","159,93","225,10","293,30",-10.484909104121977,-63.79972916852042
RO,1100809,Candeias do Jamari,"77,97","72,59","79,53","80,79","90,62","93,93","112,16","121,87","112,15","105,76","89,24","81,45","341,87","351,60","358,63","198,90","136,00","34,57","11,87","21,43","87,93","160,60","238,30","320,70",-8.887096065478659,-63.325628800652815
RO,1100908,Castanheiras,"83,34","74,48","84,82","82,89","88,09","91,73","113,02","130,15","113,27","112,61","101,29","87,79","344,40","289,30","287,37","135,00","62,00","18,90","7,73","22,70","87,53","148,93","221,73","249,70",-11.470766427031004,-61.880082122058944
RO,1100924,Chupinguaia,"91,00","78,42","88,45","88,40","90,57","93,73","116,81","133,06","121,56","122,37","107,20","94,88","277,63","276,13","253,67","126,20","53,53","12,07","6,03","22,13","54,60","175,10","157,03","139,47",-12.537307613832212,-60.89840988992408
RO,1100940,Cujubim,"79,90","71,47","80,48","76,12","87,74","92,10","112,37","122,73","109,41","104,90","94,15","79,96","363,87","346,93","368,87","211,57","133,10","30,23","12,60","27,90","99,60","195,23","263,87","355,53",-9.171076207716332,-62.56535167371528
RO,1101005,Governador Jorge Teixeira,"79,70","72,87","80,48","78,42","86,59","89,42","110,14","125,29","114,38","110,93","90,27","81,75","308,70","314,40","273,33","172,57","102,47","16,53","9,57","30,10","87,03","149,50","203,67","243,37",-10.748117711098503,-63.184012312695245
RO,1101104,Itapuã do Oeste,"78,42","71,81","80,27","76,55","87,71","91,40","111,65","122,76","110,85","107,01","90,66","78,82","373,40","367,77","392,50","210,87","145,23","32,63","9,57","20,07","94,10","173,00","246,87","334,40",-9.17018292307418,-63.04499017167278
RO,1101203,Ministro Andreazza,"80,86","72,02","82,38","79,88","86,63","90,38","110,76","128,92","110,58","109,60","98,66","83,99","384,17","321,73","296,83","161,57","64,63","20,27","9,20","18,50","84,57","148,73","235,60","257,87",-11.160430450116833,-61.56902182400546
RO,1101302,Mirante da Serra,"80,37","73,28","82,79","78,58","86,58","89,46","108,32","125,43","112,86","109,73","96,07","83,47","287,73","299,03","266,70","156,50","93,33","16,40","9,53","31,70","78,43","138,40","186,00","204,23",-11.076779272148302,-62.847963396014
RO,1101401,Monte Negro,"81,06","72,36","82,22","77,36","87,28","90,44","110,06","122,38","111,21","108,36","96,74","83,37","342,37","326,37","284,53","187,77","116,87","17,20","10,07","24,13","103,50","172,30","235,07","288,60",-10.210979694167468,-63.37241090087501
RO,1101435,Nova União,"80,99","71,87","82,42","78,66","85,90","89,81","109,68","125,70","109,87","107,22","96,37","83,40","303,40","310,33","279,83","158,37","93,93","17,10","8,43","27,80","81,07","142,80","200,40","211,23",-10.88936511332289,-62.532456935265344
RO,1101450,Parecis,"86,61","77,27","86,10","87,08","89,68","92,77","115,11","133,09","118,83","118,49","104,54","90,95","270,40","273,00","256,67","116,43","52,53","13,10","5,63","21,73","61,07","163,63","167,80","166,20",-12.262301527174673,-61.41525332379341
RO,1101468,Pimenteiras do Oeste,"91,16","84,41","91,11","94,39","91,70","93,78","116,83","136,87","128,26","127,12","108,98","99,92","266,53","236,97","227,03","109,67","52,23","19,67","8,13","15,70","51,47","141,83","160,07","186,47",-13.17382549091306,-61.545345557533
RO,1101476,Primavera de Rondônia,"86,90","76,21","86,38","84,62","89,38","92,59","114,61","131,05","116,35","117,24","104,26","90,93","311,57","309,93","263,77","126,10","56,03","12,80","5,63","22,50","70,13","153,40","193,50","208,57",-11.878755557949692,-61.3153797889567
RO,1101484,São Felipe D'Oeste,"87,19","76,52","86,63","85,06","89,63","92,12","114,33","130,91","116,58","116,81","104,40","90,35","300,70","289,83","264,33","121,27","54,67","13,90","5,67","22,63","71,20","152,20","192,30","212,67",-11.904665517947883,-61.467057982691685
RO,1101492,São Francisco do Guaporé,"83,55","79,90","85,66","87,94","89,71","91,79","111,79","132,73","127,59","121,27","99,35","91,96","262,07","257,97","239,13","119,40","69,57","22,00","7,60","20,07","69,60","132,47","171,90","224,23",-12.368691729144135,-63.122126526854224
RO,1101500,Seringueiras,"82,78","75,99","84,77","81,74","87,06","90,46","108,46","128,70","118,41","116,30","101,23","87,80","269,37","275,03","254,67","135,47","83,20","20,43","9,50","29,40","79,77","143,20","174,03","210,63",-11.807224991097986,-63.2306829237034
